route,state,city,time_zone,environment,active,type
Corey Triangle,TX,Arlin gton,America/Chicago,Outside,1,Loop
Cravens Park,TX,Arlington,America/Chicago,Outside,1,Loop
Enchanted Lakes,TX,Arlington,America/Chicago,Outside,1,Loop
Fish Creek Linear Park,TX,Arlington,America/Chicago,Outside,1,Loop
Kahaluu Beach Park,HI,Kailua-Kona,America/Honolulu,Outside,1,Linear
Lako Road,HI,Kailua-Kona,America/Honolulu,Outside,1,Linear
Little Road,TX,Arlington,America/Chicago,Outside,1,Loop
Magic Sands Beach Park,HI,Kailua-Kona,America/Honolulu,Outside,1,Linear
Old Airport Garden Loop,HI,Kailua-Kona,America/Honolulu,Outside,0,Loop
Palani Road,HI,Kailua-Kona,America/Honolulu,Outside,1,Linear
Parks Mall,TX,Arlington,America/Chicago,Inside,0,Loop
Parks Mall - Main corridor,TX,Arlington,America/Chicago,Inside,0,Loop
Parks Mall - Mostly inside,TX,Arlington,America/Chicago,Both,1,Loop
Perkins Road,TX,Arlington,America/Chicago,Outside,0,Loop
River Legacy North East,TX,Arlington,America/Chicago,,1,Linear
River Legacy Park East,TX,Arlington,America/Chicago,Outside,1,Loop
River Legacy Park West,TX,Arlington,America/Chicago,Outside,1,Loop
Rosie,TX,Arlington,America/Chicago,Outside,1,Dog
South Rush Creek Linear Park,TX,Arlington,America/Chicago,Outside,1,
Shorewood Drive,TX,Arlington,America/Chicago,Outside,0,Linear
Stovall Park,TX,Arlington,America/Chicago,Outside,1,Loop
Vandergriff Park,TX,Arlington,America/Chicago,Outside,0,Loop
Vetrans Park,TX,Arlington,America/Chicago,Outside,0,Loop
Four Parks,TX,Arlington,America/Chicago,Outside,1,Loop
Villiage Creek,TX,Arlington,America/Chicago,Outside,1,Linear
Viridian - River Legacy East,TX,Arlington,America/Chicago,Outside,1,Linear
Viridian Lake Loop,TX,Arlington,America/Chicago,Outside,1,Linear
